Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Transcript start (bp),Overlapping Transcript end (bp),Overlapping TSS,Selected Strand,Selected Gene name,Selected Transcript start (bp),Selected Transcript end (bp),Selected TSS,overlap type
ENSG00000102898,ENSG00000102901,-1,CENPT,67828157,67847693,67847693,1,NUTF2,67846933,67872567,67846933,2.0
ENSG00000188038,ENSG00000038358,1,EDC4,67873052,67884499,67873052,1,NRN1L,67884885,67886368,67884885,1.0
ENSG00000213398,ENSG00000124067,-1,SLC12A4,67943474,67968637,67968637,-1,LCAT,67939750,67944120,67944120,1.0
ENSG00000167264,ENSG00000182810,-1,DDX28,68020916,68023232,68023232,1,DUS2,68023284,68079320,68023284,2.0
ENSG00000051523,ENSG00000167508,-1,MVD,88651940,88663091,88663091,-1,CYBA,88643289,88651053,88651053,1.0
ENSG00000158717,ENSG00000174177,1,CTU2,88706503,88715396,88706503,-1,RNF166,88696501,88706408,88706408,2.0
ENSG00000174177,ENSG00000158717,-1,RNF166,88696501,88706408,88706408,1,CTU2,88706503,88715396,88706503,2.0
ENSG00000158805,ENSG00000075399,-1,VPS9D1,89707134,89720898,89720898,1,ZNF276,89721537,89740925,89721537,2.0
ENSG00000141012,ENSG00000167515,1,TRAPPC2L,88857127,88862678,88857127,-1,GALNS,88813734,88856947,88856947,2.0
ENSG00000167515,ENSG00000141012,-1,GALNS,88813734,88856947,88856947,1,TRAPPC2L,88857127,88862678,88857127,2.0
ENSG00000077235,ENSG00000047578,1,KATNIP,27550144,27780344,27550144,-1,GTF3C1,27460613,27549913,27549913,2.0
ENSG00000047578,ENSG00000077235,-1,GTF3C1,27460613,27549913,27549913,1,KATNIP,27550144,27780344,27550144,2.0
ENSG00000131148,ENSG00000131143,1,COX4I1,85799695,85807068,85799695,-1,EMC8,85778624,85799544,85799544,2.0
ENSG00000131143,ENSG00000131148,-1,EMC8,85778624,85799544,85799544,1,COX4I1,85799695,85807068,85799695,2.0
ENSG00000213658,ENSG00000169682,1,SPNS1,28974778,28984543,28974778,1,LAT,28985052,28990784,28985052,1.0
ENSG00000161996,ENSG00000172366,1,MCRIP2,641828,648474,641828,1,WDR90,649365,667830,649365,1.0
ENSG00000161999,ENSG00000127580,-1,WDR24,684622,690398,690398,-1,JMJD8,681670,684334,684334,1.0
ENSG00000140983,ENSG00000161996,1,WDR90,649365,667830,649365,1,RHOT2,668132,674171,668132,1.0
ENSG00000103005,ENSG00000166188,-1,ZNF319,57994676,58000672,58000672,1,USB1,58001407,58021618,58001407,2.0
ENSG00000102977,ENSG00000102981,1,PARD6A,67660960,67662774,67660960,-1,ACD,67657512,67660260,67660260,2.0
ENSG00000102893,ENSG00000129636,-1,ITFG1,47154391,47461063,47461063,1,PHKB,47461331,47701523,47461331,2.0
ENSG00000180185,ENSG00000063854,-1,HAGH,1807629,1826825,1826825,1,FAHD1,1827206,1828910,1827206,2.0
ENSG00000183336,ENSG00000181625,1,SLX1B,29454533,29458219,29454533,-1,BOLA2,29453593,29454351,29454351,2.0
ENSG00000103051,ENSG00000189091,1,SF3B3,70523816,70577668,70523816,-1,COG4,70480571,70523554,70523554,2.0
ENSG00000181625,ENSG00000183336,-1,BOLA2,29453593,29454351,29454351,1,SLX1B,29454533,29458219,29454533,2.0
ENSG00000182685,ENSG00000184207,-1,PGP,2211593,2214840,2214840,-1,BRICD5,2209253,2210863,2210863,1.0
ENSG00000167968,ENSG00000167967,1,E4F1,2223591,2235742,2223591,1,DNASE1L2,2236444,2238711,2236444,1.0
ENSG00000140939,ENSG00000102878,1,HSF4,67164745,67169941,67164745,1,NOL3,67170538,67175737,67170538,1.0
ENSG00000140718,ENSG00000103494,-1,RPGRIP1L,53598153,53703859,53703859,1,FTO,53704156,54121941,53704156,2.0
ENSG00000069329,ENSG00000091651,1,ORC6,46689659,46698394,46689659,-1,VPS35,46656132,46689178,46689178,2.0
ENSG00000091651,ENSG00000069329,-1,VPS35,46656132,46689178,46689178,1,ORC6,46689659,46698394,46689659,2.0
ENSG00000161981,ENSG00000161980,-1,POLR3K,46407,53608,53608,1,SNRNP25,53828,57669,53828,2.0
ENSG00000103121,ENSG00000166451,1,CENPN,81007214,81031485,81007214,-1,CMC2,80966448,81006885,81006885,2.0
ENSG00000083093,ENSG00000166847,1,DCTN5,23641466,23677472,23641466,-1,PALB2,23603165,23641310,23641310,2.0
ENSG00000007376,ENSG00000127586,1,CHTF18,788620,798074,788620,-1,RPUSD1,784974,788381,788381,2.0
ENSG00000127586,ENSG00000007376,-1,RPUSD1,784974,788381,788381,1,CHTF18,788620,798074,788620,2.0
ENSG00000172775,ENSG00000159579,1,RSPRY1,57186329,57240469,57186329,-1,PSME3IP1,57152466,57186039,57186039,2.0
ENSG00000103197,ENSG00000065057,-1,NTHL1,2039820,2047834,2047834,1,TSC2,2047985,2089491,2047985,2.0
ENSG00000124279,ENSG00000124275,1,MTRR,7869148,7901113,7869148,-1,FASTKD3,7859159,7869031,7869031,2.0
ENSG00000124275,ENSG00000124279,-1,FASTKD3,7859159,7869031,7869031,1,MTRR,7869148,7901113,7869148,2.0
ENSG00000164294,ENSG00000164287,-1,CDC20B,55112971,55173177,55173177,1,GPX8,55160171,55167297,55160171,5.0
ENSG00000113593,ENSG00000123219,-1,CENPK,65517766,65563168,65563168,1,PPWD1,65563296,65587549,65563296,2.0
ENSG00000213949,ENSG00000152684,1,PELO,52787916,52804044,52787916,1,ITGA1,52787916,52959209,52787916,3.0
ENSG00000039123,ENSG00000067248,-1,DHX29,55256055,55307694,55307694,1,MTREX,55307989,55425579,55307989,2.0
ENSG00000174695,ENSG00000152422,1,XRCC4,83077547,83353760,83077547,-1,TMEM167A,83052846,83077394,83077394,2.0
ENSG00000113597,ENSG00000253251,1,SHLD3,65625027,65630928,65625027,1,TRAPPC13,65625027,65666233,65625027,3.0
ENSG00000113597,ENSG00000113595,-1,TRIM23,65589690,65624333,65624333,1,TRAPPC13,65625027,65666233,65625027,2.0
ENSG00000113595,ENSG00000253251,1,SHLD3,65625027,65630928,65625027,-1,TRIM23,65589690,65624333,65624333,2.0
ENSG00000113595,ENSG00000113597,1,TRAPPC13,65625027,65666233,65625027,-1,TRIM23,65589690,65624333,65624333,2.0
ENSG00000253251,ENSG00000113595,-1,TRIM23,65589690,65624333,65624333,1,SHLD3,65625027,65630928,65625027,2.0
ENSG00000253251,ENSG00000113597,1,TRAPPC13,65625027,65666233,65625027,1,SHLD3,65625027,65630928,65625027,3.0
ENSG00000123219,ENSG00000113593,1,PPWD1,65563296,65587549,65563296,-1,CENPK,65517766,65563168,65563168,2.0
ENSG00000197860,ENSG00000123213,1,NLN,65722205,65829283,65722205,-1,SGTB,65665928,65722109,65722109,2.0
ENSG00000113318,ENSG00000228716,-1,DHFR,80626226,80654983,80654983,1,MSH3,80654652,80876815,80654652,2.0
ENSG00000132837,ENSG00000132840,1,BHMT2,79069767,79090069,79069767,-1,DMGDH,78997564,79069674,79069674,2.0
ENSG00000145782,ENSG00000177879,1,AP3S1,115841935,115914081,115841935,-1,ATG12,115828200,115841565,115841565,2.0
ENSG00000177879,ENSG00000145782,-1,ATG12,115828200,115841565,115841565,1,AP3S1,115841935,115914081,115841935,2.0
ENSG00000132840,ENSG00000132837,-1,DMGDH,78997564,79069674,79069674,1,BHMT2,79069767,79090069,79069767,2.0
ENSG00000146006,ENSG00000044115,1,CTNNA1,138753425,138935034,138753425,-1,LRRTM2,138868921,138875335,138875335,5.0
ENSG00000152684,ENSG00000213949,1,ITGA1,52787916,52959209,52787916,1,PELO,52787916,52804044,52787916,3.0
ENSG00000145817,ENSG00000183775,1,KCTD16,144170873,144485686,144170873,-1,YIPF5,144158162,144170659,144170659,2.0
ENSG00000112984,ENSG00000112983,-1,BRD8,138139770,138178630,138178630,1,KIF20A,138179112,138187723,138179112,2.0
ENSG00000112981,ENSG00000112983,-1,BRD8,138139770,138178630,138178630,-1,NME5,138115175,138139428,138139428,1.0
ENSG00000228716,ENSG00000113318,1,MSH3,80654652,80876815,80654652,-1,DHFR,80626226,80654983,80654983,2.0
ENSG00000183775,ENSG00000145817,-1,YIPF5,144158162,144170659,144170659,1,KCTD16,144170873,144485686,144170873,2.0
ENSG00000123213,ENSG00000197860,-1,SGTB,65665928,65722109,65722109,1,NLN,65722205,65829283,65722205,2.0
ENSG00000164296,ENSG00000113716,1,HMGXB3,150000739,150053128,150000739,-1,TIGD6,149993118,150000654,150000654,2.0
ENSG00000113716,ENSG00000164296,-1,TIGD6,149993118,150000654,150000654,1,HMGXB3,150000739,150053128,150000739,2.0
ENSG00000164366,ENSG00000073578,1,SDHA,218320,257082,218320,-1,CCDC127,196868,218153,218153,2.0
ENSG00000170476,ENSG00000228672,-1,PROB1,139390592,139395104,139395104,-1,MZB1,139387467,139389913,139389913,1.0
ENSG00000152422,ENSG00000174695,-1,TMEM167A,83052846,83077394,83077394,1,XRCC4,83077547,83353760,83077547,2.0
ENSG00000037474,ENSG00000145545,1,SRD5A1,6633440,6674386,6633440,-1,NSUN2,6599239,6633044,6633044,2.0
ENSG00000145545,ENSG00000037474,-1,NSUN2,6599239,6633044,6633044,1,SRD5A1,6633440,6674386,6633440,2.0
ENSG00000131495,ENSG00000113141,1,IK,140647829,140662480,140647829,-1,NDUFA2,140645285,140647630,140647630,2.0
ENSG00000256453,ENSG00000170445,-1,HARS1,140673905,140691370,140691370,-1,DND1,140670794,140673576,140673576,1.0
ENSG00000112855,ENSG00000170445,-1,HARS1,140673905,140691370,140691370,1,HARS2,140691455,140699305,140691455,2.0
ENSG00000204969,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA2,140794852,141012347,140794852,6.0
ENSG00000255408,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA3,140801057,141012347,140801057,6.0
ENSG00000255408,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA3,140801057,141012347,140801057,6.0
ENSG00000204965,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA5,140821613,141012347,140821613,6.0
ENSG00000204965,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA5,140821613,141012347,140821613,6.0
ENSG00000204965,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA5,140821613,141012347,140821613,6.0
ENSG00000204965,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA5,140821613,141012347,140821613,6.0
ENSG00000081842,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA6,140827960,141012347,140827960,6.0
ENSG00000081842,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA6,140827960,141012347,140827960,6.0
ENSG00000081842,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA6,140827960,141012347,140827960,6.0
ENSG00000081842,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA6,140827960,141012347,140827960,6.0
ENSG00000081842,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA6,140827960,141012347,140827960,6.0
ENSG00000204963,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204963,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204963,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204963,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204963,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204963,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA7,140834269,141012347,140834269,6.0
ENSG00000204962,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204962,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA8,140841187,141012347,140841187,6.0
ENSG00000204961,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000204961,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHA9,140848382,141012347,140848382,6.0
ENSG00000250120,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000250120,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHA10,140855897,141012347,140855897,6.0
ENSG00000249158,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000249158,ENSG00000250120,1,PCDHA10,140855897,141012347,140855897,1,PCDHA11,140868957,141012347,140868957,6.0
ENSG00000251664,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000250120,1,PCDHA10,140855897,141012347,140855897,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000251664,ENSG00000249158,1,PCDHA11,140868957,141012347,140868957,1,PCDHA12,140875308,141012347,140875308,6.0
ENSG00000239389,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000250120,1,PCDHA10,140855897,141012347,140855897,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000249158,1,PCDHA11,140868957,141012347,140868957,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000239389,ENSG00000251664,1,PCDHA12,140875308,141012347,140875308,1,PCDHA13,140882124,141012347,140882124,6.0
ENSG00000243232,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000250120,1,PCDHA10,140855897,141012347,140855897,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000249158,1,PCDHA11,140868957,141012347,140868957,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000251664,1,PCDHA12,140875308,141012347,140875308,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000239389,1,PCDHA13,140882124,141012347,140882124,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000243232,ENSG00000248383,1,PCDHAC1,140926299,141012347,140926299,1,PCDHAC2,140966476,141012347,140966476,6.0
ENSG00000248383,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204967,1,PCDHA4,140807068,141012347,140807068,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204965,1,PCDHA5,140821613,141012347,140821613,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000081842,1,PCDHA6,140827960,141012347,140827960,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204963,1,PCDHA7,140834269,141012347,140834269,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204962,1,PCDHA8,140841187,141012347,140841187,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000204961,1,PCDHA9,140848382,141012347,140848382,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000250120,1,PCDHA10,140855897,141012347,140855897,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000249158,1,PCDHA11,140868957,141012347,140868957,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000251664,1,PCDHA12,140875308,141012347,140875308,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000248383,ENSG00000239389,1,PCDHA13,140882124,141012347,140882124,1,PCDHAC1,140926299,141012347,140926299,6.0
ENSG00000204967,ENSG00000204970,1,PCDHA1,140786140,141012347,140786140,1,PCDHA4,140807068,141012347,140807068,6.0
ENSG00000204967,ENSG00000204969,1,PCDHA2,140794852,141012347,140794852,1,PCDHA4,140807068,141012347,140807068,6.0
ENSG00000204967,ENSG00000255408,1,PCDHA3,140801057,141012347,140801057,1,PCDHA4,140807068,141012347,140807068,6.0
ENSG00000170445,ENSG00000112855,1,HARS2,140691455,140699305,140691455,-1,HARS1,140673905,140691370,140691370,2.0
ENSG00000182700,ENSG00000185129,1,PURA,140114109,140125619,140114109,1,IGIP,140125937,140129392,140125937,1.0
ENSG00000176055,ENSG00000113356,1,POLR3G,90474864,90514557,90474864,-1,MBLAC2,90458209,90474771,90474771,2.0
ENSG00000113356,ENSG00000176055,-1,MBLAC2,90458209,90474771,90474771,1,POLR3G,90474864,90514557,90474864,2.0
ENSG00000186105,ENSG00000086200,1,IPO11,62412763,62628582,62412763,1,LRRC70,62578819,62581446,62578819,6.0
ENSG00000112983,ENSG00000112984,1,KIF20A,138179112,138187723,138179112,-1,BRD8,138139770,138178630,138178630,2.0
ENSG00000164331,ENSG00000164338,1,UTP15,73565743,73583380,73565743,-1,ANKRA2,73552190,73565639,73565639,2.0
ENSG00000164338,ENSG00000164331,-1,ANKRA2,73552190,73565639,73565639,1,UTP15,73565743,73583380,73565743,2.0
ENSG00000074317,ENSG00000175766,1,EIF4E1B,176630675,176646644,176630675,-1,SNCB,176620082,176630534,176630534,2.0
ENSG00000048140,ENSG00000175766,1,EIF4E1B,176630675,176646644,176630675,1,TSPAN17,176647484,176659051,176647484,1.0
ENSG00000175766,ENSG00000074317,-1,SNCB,176620082,176630534,176630534,1,EIF4E1B,176630675,176646644,176630675,2.0
ENSG00000164182,ENSG00000049167,-1,ERCC8,60866454,60945070,60945070,1,NDUFAF2,60945205,61153026,60945205,2.0
ENSG00000164187,ENSG00000145604,1,SKP2,36152111,36184319,36152111,-1,LMBRD2,36098407,36151887,36151887,2.0
ENSG00000145604,ENSG00000164187,-1,LMBRD2,36098407,36151887,36151887,1,SKP2,36152111,36184319,36152111,2.0
ENSG00000082213,ENSG00000113360,-1,DROSHA,31400494,31532093,31532093,1,C5orf22,31532301,31555053,31532301,2.0
ENSG00000113360,ENSG00000082213,1,C5orf22,31532301,31555053,31532301,-1,DROSHA,31400494,31532093,31532093,2.0
ENSG00000172568,ENSG00000055163,1,CYFIP2,157266123,157395594,157266123,-1,FNDC9,157341598,157345677,157345677,5.0
ENSG00000055147,ENSG00000037749,1,MFAP3,154038967,154057450,154038967,-1,FAM114A2,153990148,154038910,154038910,2.0
ENSG00000037749,ENSG00000055147,-1,FAM114A2,153990148,154038910,154038910,1,MFAP3,154038967,154057450,154038967,2.0
ENSG00000176087,ENSG00000113108,-1,APBB3,140558268,140564598,140564598,1,SLC35A4,140564828,140569100,140564828,2.0
ENSG00000213523,ENSG00000113108,-1,APBB3,140558268,140564598,140564598,-1,SRA1,140550068,140557473,140557473,1.0
ENSG00000085231,ENSG00000152942,1,RAD17,69369818,69414801,69369818,-1,AK6,69350984,69369520,69369520,2.0
ENSG00000085231,ENSG00000273841,-1,TAF9,69364743,69369520,69369520,-1,AK6,69350984,69369520,69369520,3.0
ENSG00000152939,ENSG00000152942,1,RAD17,69369818,69414801,69369818,1,MARVELD2,69415116,69444330,69415116,1.0
ENSG00000273841,ENSG00000152942,1,RAD17,69369818,69414801,69369818,-1,TAF9,69364743,69369520,69369520,2.0
ENSG00000273841,ENSG00000085231,-1,AK6,69350984,69369520,69369520,-1,TAF9,69364743,69369520,69369520,3.0
ENSG00000152942,ENSG00000273841,-1,TAF9,69364743,69369520,69369520,1,RAD17,69369818,69414801,69369818,2.0
ENSG00000152942,ENSG00000085231,-1,AK6,69350984,69369520,69369520,1,RAD17,69369818,69414801,69369818,2.0
ENSG00000113108,ENSG00000176087,1,SLC35A4,140564828,140569100,140564828,-1,APBB3,140558268,140564598,140564598,2.0
ENSG00000145723,ENSG00000145725,1,PPIP5K2,103120301,103212799,103120301,-1,GIN1,103086000,103120138,103120138,2.0
ENSG00000113163,ENSG00000122008,1,POLK,75511891,75609991,75511891,-1,CERT1,75377775,75511629,75511629,2.0
ENSG00000049167,ENSG00000164182,1,NDUFAF2,60945205,61153026,60945205,-1,ERCC8,60866454,60945070,60945070,2.0
ENSG00000081853,ENSG00000204956,1,PCDHGA1,141330514,141512975,141330514,1,PCDHGA2,141338760,141512975,141338760,6.0
ENSG00000254245,ENSG00000204956,1,PCDHGA1,141330514,141512975,141330514,1,PCDHGA3,141343829,141512975,141343829,6.0
ENSG00000254245,ENSG00000081853,1,PCDHGA2,141338760,141512975,141338760,1,PCDHGA3,141343829,141512975,141343829,6.0
ENSG00000254221,ENSG00000204956,1,PCDHGA1,141330514,141512975,141330514,1,PCDHGB1,141350099,141512975,141350099,6.0
ENSG00000254221,ENSG00000081853,1,PCDHGA2,141338760,141512975,141338760,1,PCDHGB1,141350099,141512975,141350099,6.0
ENSG00000254221,ENSG00000254245,1,PCDHGA3,141343829,141512975,141343829,1,PCDHGB1,141350099,141512975,141350099,6.0
