Selected Gene,Selected Gene name,Selected Strand,Selected TSS,Overlapping Gene,Overlapping Gene name,Overlapping Strand,Overlapping TSS
ENSG00000120533,ENY2,1,109334347,ENSG00000120526,NUDCD1,-1,109334087
ENSG00000120526,NUDCD1,-1,109334087,ENSG00000120533,ENY2,1,109334347
ENSG00000169490,TM2D2,-1,38996509,ENSG00000168615,ADAM9,1,38996973
ENSG00000147687,TATDN1,-1,124539085,ENSG00000147684,NDUFB9,1,124539123
ENSG00000147684,NDUFB9,1,124539123,ENSG00000147687,TATDN1,-1,124539085
ENSG00000168615,ADAM9,1,38996973,ENSG00000169490,TM2D2,-1,38996509
ENSG00000203499,IQANK1,1,143734139,ENSG00000180921,FAM83H,-1,143733779
ENSG00000168453,HR,-1,22131010,ENSG00000288677,HRURF,-1,22131010
ENSG00000104299,INTS9,-1,28889969,ENSG00000147421,HMBOX1,1,28890395
ENSG00000179886,TIGD5,1,143597831,ENSG00000104529,EEF1D,-1,143597415
ENSG00000167702,KIFC2,1,144466337,ENSG00000291317,TMEM276,-1,144465492
ENSG00000160957,RECQL4,-1,144517833,ENSG00000160959,LRRC14,1,144517992
ENSG00000160959,LRRC14,1,144517992,ENSG00000160957,RECQL4,-1,144517833
ENSG00000172733,PURG,-1,31033356,ENSG00000165392,WRN,1,31033810
ENSG00000104529,EEF1D,-1,143597415,ENSG00000179886,TIGD5,1,143597831
ENSG00000104738,MCM4,1,47960941,ENSG00000253729,PRKDC,-1,47960136
ENSG00000253729,PRKDC,-1,47960136,ENSG00000104738,MCM4,1,47960941
ENSG00000175324,LSM1,-1,38176493,ENSG00000156735,BAG4,1,38176855
ENSG00000156735,BAG4,1,38176855,ENSG00000175324,LSM1,-1,38176493
ENSG00000288677,HRURF,-1,22131010,ENSG00000168453,HR,-1,22131010
ENSG00000120925,RNF170,-1,42896605,ENSG00000168172,HOOK3,1,42896978
ENSG00000168172,HOOK3,1,42896978,ENSG00000120925,RNF170,-1,42896605
ENSG00000291317,TMEM276,-1,144465492,ENSG00000167702,KIFC2,1,144466337
ENSG00000164933,SLC25A32,-1,103415107,ENSG00000164934,DCAF13,1,103415386
ENSG00000104756,KCTD9,-1,25458433,ENSG00000184661,CDCA2,1,25459233
ENSG00000184661,CDCA2,1,25459233,ENSG00000104756,KCTD9,-1,25458433
ENSG00000167904,TMEM68,-1,55773378,ENSG00000137574,TGS1,1,55773446
ENSG00000137574,TGS1,1,55773446,ENSG00000167904,TMEM68,-1,55773378
ENSG00000164934,DCAF13,1,103415386,ENSG00000164933,SLC25A32,-1,103415107
ENSG00000166140,ZFYVE19,1,40807089,ENSG00000104129,DNAJC17,-1,40807473
ENSG00000129028,THAP10,-1,70892433,ENSG00000137821,LRRC49,1,70892826
ENSG00000103599,IQCH,1,67254786,ENSG00000103591,AAGAB,-1,67254661
ENSG00000140382,HMG20A,1,77420888,ENSG00000173517,PEAK1,-1,77420104
ENSG00000104129,DNAJC17,-1,40807473,ENSG00000166140,ZFYVE19,1,40807089
ENSG00000181991,MRPS11,1,88467708,ENSG00000259494,MRPL46,-1,88467388
ENSG00000259494,MRPL46,-1,88467388,ENSG00000181991,MRPS11,1,88467708
ENSG00000134153,EMC7,-1,34101862,ENSG00000182405,PGBD4,1,34102083
ENSG00000182405,PGBD4,1,34102083,ENSG00000134153,EMC7,-1,34101862
ENSG00000092439,TRPM7,-1,50686797,ENSG00000288645,,-1,50686717
ENSG00000288645,,-1,50686717,ENSG00000092439,TRPM7,-1,50686797
ENSG00000166262,FAM227B,-1,49620818,ENSG00000104047,DTWD1,1,49621048
ENSG00000104047,DTWD1,1,49621048,ENSG00000166262,FAM227B,-1,49620818
ENSG00000168806,LCMT2,-1,43330573,ENSG00000168803,ADAL,1,43330672
ENSG00000168803,ADAL,1,43330672,ENSG00000168806,LCMT2,-1,43330573
ENSG00000128739,SNRPN,1,24954987,ENSG00000273173,SNURF,1,24954987
ENSG00000242028,HYPK,1,43800599,ENSG00000184716,SERINC4,-1,43800220
ENSG00000137821,LRRC49,1,70892826,ENSG00000129028,THAP10,-1,70892433
ENSG00000166821,PEX11A,-1,89690754,ENSG00000140527,WDR93,1,89690811
ENSG00000140527,WDR93,1,89690811,ENSG00000166821,PEX11A,-1,89690754
ENSG00000225973,PIGBOS1,-1,55319123,ENSG00000069943,PIGB,1,55319222
ENSG00000069943,PIGB,1,55319222,ENSG00000225973,PIGBOS1,-1,55319123
ENSG00000187446,CHP1,1,41231268,ENSG00000178997,EXD1,-1,41230757
ENSG00000104147,OIP5,-1,41332591,ENSG00000137804,NUSAP1,1,41332881
ENSG00000137804,NUSAP1,1,41332881,ENSG00000104147,OIP5,-1,41332591
ENSG00000103591,AAGAB,-1,67254661,ENSG00000103599,IQCH,1,67254786
ENSG00000140471,LINS1,-1,100602184,ENSG00000183475,ASB7,1,100602589
ENSG00000183475,ASB7,1,100602589,ENSG00000140471,LINS1,-1,100602184
ENSG00000166192,SENP8,1,72118403,ENSG00000066933,MYO9A,-1,72118150
ENSG00000178997,EXD1,-1,41230757,ENSG00000187446,CHP1,1,41231268
ENSG00000140279,DUOX2,-1,45114172,ENSG00000140274,DUOXA2,1,45114326
ENSG00000140274,DUOXA2,1,45114326,ENSG00000140279,DUOX2,-1,45114172
ENSG00000137857,DUOX1,1,45129994,ENSG00000140254,DUOXA1,-1,45129879
ENSG00000175202,HIGD2B,-1,72686182,ENSG00000140463,BBS4,1,72686207
ENSG00000140463,BBS4,1,72686207,ENSG00000175202,HIGD2B,-1,72686182
ENSG00000184716,SERINC4,-1,43800220,ENSG00000242028,HYPK,1,43800599
ENSG00000183208,GDPGP1,1,90234209,ENSG00000185043,CIB1,-1,90233941
ENSG00000173517,PEAK1,-1,77420104,ENSG00000140382,HMG20A,1,77420888
ENSG00000140254,DUOXA1,-1,45129879,ENSG00000137857,DUOX1,1,45129994
ENSG00000229474,PATL2,-1,44711323,ENSG00000166710,B2M,1,44711517
ENSG00000174442,ZWILCH,1,66505326,ENSG00000174444,RPL4,-1,66504855
ENSG00000174444,RPL4,-1,66504855,ENSG00000174442,ZWILCH,1,66505326
ENSG00000185043,CIB1,-1,90233941,ENSG00000183208,GDPGP1,1,90234209
ENSG00000188659,SAXO2,1,82262818,ENSG00000140598,EFL1,-1,82262734
ENSG00000140598,EFL1,-1,82262734,ENSG00000188659,SAXO2,1,82262818
ENSG00000260916,CCPG1,-1,55408359,ENSG00000261652,PIERCE2,1,55408495
ENSG00000182117,NOP10,-1,34343136,ENSG00000184507,NUTM1,1,34343315
ENSG00000273173,SNURF,1,24954987,ENSG00000128739,SNRPN,1,24954987
ENSG00000180979,LRRC57,-1,42548793,ENSG00000137814,HAUS2,1,42548838
ENSG00000137814,HAUS2,1,42548838,ENSG00000180979,LRRC57,-1,42548793
ENSG00000103978,TMEM87A,-1,42273433,ENSG00000214013,GANC,1,42273201
ENSG00000261652,PIERCE2,1,55408495,ENSG00000260916,CCPG1,-1,55408359
ENSG00000166710,B2M,1,44711517,ENSG00000229474,PATL2,-1,44711323
ENSG00000140265,ZSCAN29,-1,43371043,ENSG00000137822,TUBGCP4,1,43371101
ENSG00000137822,TUBGCP4,1,43371101,ENSG00000140265,ZSCAN29,-1,43371043
ENSG00000214013,GANC,1,42273201,ENSG00000103978,TMEM87A,-1,42273433
ENSG00000066933,MYO9A,-1,72118150,ENSG00000166192,SENP8,1,72118403
ENSG00000184507,NUTM1,1,34343315,ENSG00000182117,NOP10,-1,34343136
ENSG00000155621,C9orf85,1,71911639,ENSG00000107362,ABHD17B,-1,71911193
ENSG00000106733,NMRK1,-1,75088155,ENSG00000134996,OSTF1,1,75088514
ENSG00000134996,OSTF1,1,75088514,ENSG00000106733,NMRK1,-1,75088155
ENSG00000136925,TSTD2,-1,97633368,ENSG00000136937,NCBP1,1,97633821
ENSG00000136937,NCBP1,1,97633821,ENSG00000136925,TSTD2,-1,97633368
ENSG00000119509,INVS,1,100099243,ENSG00000023318,ERP44,-1,100099000
ENSG00000136942,RPL35,-1,124861957,ENSG00000136950,ARPC5L,1,124862130
ENSG00000136950,ARPC5L,1,124862130,ENSG00000136942,RPL35,-1,124861957
ENSG00000197958,RPL12,-1,127451406,ENSG00000148356,LRSAM1,1,127451510
ENSG00000187024,PTRH1,-1,127715663,ENSG00000167094,TTC16,1,127716079
ENSG00000167094,TTC16,1,127716079,ENSG00000187024,PTRH1,-1,127715663
ENSG00000171169,NAIF1,-1,128067320,ENSG00000148339,SLC25A25,1,128068232
ENSG00000167112,TRUB2,-1,128322447,ENSG00000167113,COQ4,1,128322839
ENSG00000167113,COQ4,1,128322839,ENSG00000167112,TRUB2,-1,128322447
ENSG00000198000,NOL8,-1,92325350,ENSG00000188312,CENPP,1,92325953
ENSG00000107175,CREB3,1,35732666,ENSG00000137076,TLN1,-1,35732195
ENSG00000070610,GBA2,-1,35749228,ENSG00000107185,RGP1,1,35749287
ENSG00000107185,RGP1,1,35749287,ENSG00000070610,GBA2,-1,35749228
ENSG00000137103,TMEM8B,1,35829228,ENSG00000204930,FAM221B,-1,35828732
ENSG00000204930,FAM221B,-1,35828732,ENSG00000137103,TMEM8B,1,35829228
ENSG00000187609,EXD3,-1,137423162,ENSG00000188747,NOXA1,1,137423393
ENSG00000136897,MRPL50,-1,101398618,ENSG00000136870,ZNF189,1,101398851
ENSG00000159069,FBXW5,-1,136944738,ENSG00000176919,C8G,1,136945243
ENSG00000176919,C8G,1,136945243,ENSG00000159069,FBXW5,-1,136944738
ENSG00000176248,ANAPC2,-1,137188560,ENSG00000176101,SSNA1,1,137188676
ENSG00000176101,SSNA1,1,137188676,ENSG00000176248,ANAPC2,-1,137188560
ENSG00000187713,TMEM203,-1,137205648,ENSG00000188566,NDOR1,1,137205700
ENSG00000070061,ELP1,-1,108934124,ENSG00000119328,ABITRAM,1,108934400
ENSG00000119328,ABITRAM,1,108934400,ENSG00000070061,ELP1,-1,108934124
ENSG00000165689,ENTR1,-1,136410614,ENSG00000165688,PMPCA,1,136410658
ENSG00000107362,ABHD17B,-1,71911193,ENSG00000155621,C9orf85,1,71911639
ENSG00000119421,NDUFA8,-1,122159779,ENSG00000185681,MORN5,1,122159908
ENSG00000185681,MORN5,1,122159908,ENSG00000119421,NDUFA8,-1,122159779
ENSG00000119446,RBM18,-1,122264840,ENSG00000148187,MRRF,1,122264882
ENSG00000148187,MRRF,1,122264882,ENSG00000119446,RBM18,-1,122264840
ENSG00000122735,DNAI1,1,34458805,ENSG00000164970,FAM219A,-1,34458570
ENSG00000148297,MED22,-1,133348131,ENSG00000148303,RPL7A,1,133348218
ENSG00000148303,RPL7A,1,133348218,ENSG00000148297,MED22,-1,133348131
ENSG00000148290,SURF1,-1,133356487,ENSG00000148291,SURF2,1,133356550
ENSG00000148291,SURF2,1,133356550,ENSG00000148290,SURF1,-1,133356487
ENSG00000148248,SURF4,-1,133376060,ENSG00000198870,STKLD1,1,133376366
ENSG00000198870,STKLD1,1,133376366,ENSG00000148248,SURF4,-1,133376060
ENSG00000197579,TOPORS,-1,32552586,ENSG00000235453,SMIM27,1,32552327
ENSG00000235453,SMIM27,1,32552327,ENSG00000197579,TOPORS,-1,32552586
ENSG00000125484,GTF3C4,1,132670464,ENSG00000125485,DDX31,-1,132669983
ENSG00000165695,AK8,-1,132878284,ENSG00000165698,SPACA9,1,132878898
ENSG00000165698,SPACA9,1,132878898,ENSG00000165695,AK8,-1,132878284
ENSG00000148356,LRSAM1,1,127451510,ENSG00000197958,RPL12,-1,127451406
ENSG00000171097,KYAT1,-1,128881950,ENSG00000136802,LRRC8A,1,128882133
ENSG00000136802,LRRC8A,1,128882133,ENSG00000171097,KYAT1,-1,128881950
ENSG00000175283,DOLK,-1,128947603,ENSG00000095319,NUP188,1,128947699
ENSG00000095319,NUP188,1,128947699,ENSG00000175283,DOLK,-1,128947603
ENSG00000095321,CRAT,-1,129110793,ENSG00000119383,PTPA,1,129111415
ENSG00000188747,NOXA1,1,137423393,ENSG00000187609,EXD3,-1,137423162
ENSG00000148339,SLC25A25,1,128068232,ENSG00000171169,NAIF1,-1,128067320
ENSG00000119402,FBXW2,-1,120793416,ENSG00000214654,B3GALT9,1,120793467
ENSG00000164978,NUDT2,1,34329569,ENSG00000186638,KIF24,-1,34329268
ENSG00000186638,KIF24,-1,34329268,ENSG00000164978,NUDT2,1,34329569
ENSG00000136870,ZNF189,1,101398851,ENSG00000136897,MRPL50,-1,101398618
ENSG00000188566,NDOR1,1,137205700,ENSG00000187713,TMEM203,-1,137205648
ENSG00000136868,SLC31A1,1,113221544,ENSG00000119321,FKBP15,-1,113221277
ENSG00000176386,CDC26,-1,113275572,ENSG00000136875,PRPF4,1,113275658
ENSG00000136875,PRPF4,1,113275658,ENSG00000176386,CDC26,-1,113275572
ENSG00000148229,POLE3,-1,113410675,ENSG00000157653,C9orf43,1,113410747
ENSG00000157653,C9orf43,1,113410747,ENSG00000148229,POLE3,-1,113410675
ENSG00000164970,FAM219A,-1,34458570,ENSG00000122735,DNAI1,1,34458805
ENSG00000125485,DDX31,-1,132669983,ENSG00000125484,GTF3C4,1,132670464
ENSG00000214654,B3GALT9,1,120793467,ENSG00000119402,FBXW2,-1,120793416
ENSG00000119321,FKBP15,-1,113221277,ENSG00000136868,SLC31A1,1,113221544
ENSG00000178966,RMI1,1,83980805,ENSG00000165119,HNRNPK,-1,83980215
ENSG00000023318,ERP44,-1,100099000,ENSG00000119509,INVS,1,100099243
ENSG00000160345,PIERCE1,-1,135499869,ENSG00000122140,MRPS2,1,135500682
ENSG00000175854,SWI5,1,128276276,ENSG00000167110,GOLGA2,-1,128276007
ENSG00000122140,MRPS2,1,135500682,ENSG00000160345,PIERCE1,-1,135499869
ENSG00000119523,ALG2,-1,99221942,ENSG00000106803,SEC61B,1,99222282
ENSG00000106803,SEC61B,1,99222282,ENSG00000119523,ALG2,-1,99221942
ENSG00000119383,PTPA,1,129111415,ENSG00000095321,CRAT,-1,129110793
ENSG00000136819,C9orf78,-1,129835275,ENSG00000136878,USP20,1,129835458
ENSG00000136878,USP20,1,129835458,ENSG00000136819,C9orf78,-1,129835275
ENSG00000167110,GOLGA2,-1,128276007,ENSG00000175854,SWI5,1,128276276
ENSG00000165119,HNRNPK,-1,83980215,ENSG00000178966,RMI1,1,83980805
ENSG00000107262,BAG1,-1,33264708,ENSG00000086065,CHMP5,1,33265049
ENSG00000086065,CHMP5,1,33265049,ENSG00000107262,BAG1,-1,33264708
ENSG00000137076,TLN1,-1,35732195,ENSG00000107175,CREB3,1,35732666
ENSG00000165688,PMPCA,1,136410658,ENSG00000165689,ENTR1,-1,136410614
ENSG00000188312,CENPP,1,92325953,ENSG00000198000,NOL8,-1,92325350
ENSG00000165629,ATP5F1C,1,7788177,ENSG00000151657,KIN,-1,7787993
ENSG00000151657,KIN,-1,7787993,ENSG00000165629,ATP5F1C,1,7788177
ENSG00000151023,ENKUR,-1,25016158,ENSG00000185875,THNSL1,1,25016612
ENSG00000170788,DYDC1,-1,80356755,ENSG00000133665,DYDC2,1,80356781
ENSG00000133665,DYDC2,1,80356781,ENSG00000170788,DYDC1,-1,80356755
ENSG00000198060,MARCHF5,1,92291167,ENSG00000107864,CPEB3,-1,92291078
ENSG00000107864,CPEB3,-1,92291078,ENSG00000198060,MARCHF5,1,92291167
ENSG00000166171,DPCD,1,101588321,ENSG00000166169,POLL,-1,101588257
ENSG00000166169,POLL,-1,101588257,ENSG00000166171,DPCD,1,101588321
ENSG00000148843,PDCD11,1,103396626,ENSG00000173915,ATP5MK,-1,103396475
ENSG00000185875,THNSL1,1,25016612,ENSG00000151023,ENKUR,-1,25016158
ENSG00000095574,IKZF5,-1,123008795,ENSG00000196177,ACADSB,1,123009006
ENSG00000138175,ARL3,-1,102714397,ENSG00000156398,SFXN2,1,102714636
ENSG00000107949,BCCIP,1,125823546,ENSG00000188690,UROS,-1,125823258
ENSG00000171307,ZDHHC16,1,97446175,ENSG00000171311,EXOSC1,-1,97446006
ENSG00000171311,EXOSC1,-1,97446006,ENSG00000171307,ZDHHC16,1,97446175
ENSG00000196177,ACADSB,1,123009006,ENSG00000095574,IKZF5,-1,123008795
ENSG00000188690,UROS,-1,125823258,ENSG00000107949,BCCIP,1,125823546
ENSG00000155229,MMS19,-1,97498422,ENSG00000165886,UBTD1,1,97498924
ENSG00000196865,NHLRC2,1,113854661,ENSG00000198924,DCLRE1A,-1,113854082
ENSG00000120539,MASTL,1,27155352,ENSG00000136758,YME1L1,-1,27154384
ENSG00000185267,CDNF,-1,14838037,ENSG00000187522,HSPA14,1,14838306
ENSG00000185267,CDNF,-1,14838037,ENSG00000284024,MSANTD7,1,14838306
ENSG00000284024,MSANTD7,1,14838306,ENSG00000187522,HSPA14,1,14838306
ENSG00000284024,MSANTD7,1,14838306,ENSG00000185267,CDNF,-1,14838037
ENSG00000187522,HSPA14,1,14838306,ENSG00000284024,MSANTD7,1,14838306
ENSG00000187522,HSPA14,1,14838306,ENSG00000185267,CDNF,-1,14838037
ENSG00000173915,ATP5MK,-1,103396475,ENSG00000148843,PDCD11,1,103396626
ENSG00000204152,TIMM23B,1,49942053,ENSG00000227345,PARG,-1,49942027
ENSG00000185009,AP3M1,-1,74150828,ENSG00000156110,ADK,1,74151221
ENSG00000156110,ADK,1,74151221,ENSG00000185009,AP3M1,-1,74150828
ENSG00000166295,ANAPC16,1,72216012,ENSG00000138303,ASCC1,-1,72216276
ENSG00000227268,KLLN,-1,87863533,ENSG00000171862,PTEN,1,87863625
ENSG00000107815,TWNK,1,100987543,ENSG00000055950,MRPL43,-1,100987497
ENSG00000186862,PDZD7,-1,101031129,ENSG00000107819,SFXN3,1,101031234
ENSG00000198546,ZNF511,1,133308914,ENSG00000130640,TUBGCP2,-1,133308872
ENSG00000227345,PARG,-1,49942027,ENSG00000204152,TIMM23B,1,49942053
ENSG00000173269,MMRN2,-1,86957615,ENSG00000173267,SNCG,1,86958599
ENSG00000173267,SNCG,1,86958599,ENSG00000173269,MMRN2,-1,86957615
ENSG00000122376,SHLD2,1,87095206,ENSG00000148672,GLUD1,-1,87094843
ENSG00000130640,TUBGCP2,-1,133308872,ENSG00000198546,ZNF511,1,133308914
ENSG00000023041,ZDHHC6,-1,112446914,ENSG00000151532,VTI1A,1,112447215
ENSG00000148672,GLUD1,-1,87094843,ENSG00000122376,SHLD2,1,87095206
ENSG00000108187,PBLD,-1,68332928,ENSG00000096746,HNRNPH3,1,68332064
ENSG00000096746,HNRNPH3,1,68332064,ENSG00000108187,PBLD,-1,68332928
ENSG00000136758,YME1L1,-1,27154384,ENSG00000120539,MASTL,1,27155352
ENSG00000214413,BBIP1,-1,110919180,ENSG00000108061,SHOC2,1,110919604
ENSG00000108061,SHOC2,1,110919604,ENSG00000214413,BBIP1,-1,110919180
ENSG00000122882,ECD,-1,73168008,ENSG00000138286,FAM149B1,1,73168119
ENSG00000138286,FAM149B1,1,73168119,ENSG00000122882,ECD,-1,73168008
ENSG00000055950,MRPL43,-1,100987497,ENSG00000107815,TWNK,1,100987543
ENSG00000198924,DCLRE1A,-1,113854082,ENSG00000196865,NHLRC2,1,113854661
ENSG00000134461,ANKRD16,-1,5889893,ENSG00000134452,FBH1,1,5890243
ENSG00000134452,FBH1,1,5890243,ENSG00000134461,ANKRD16,-1,5889893
ENSG00000107819,SFXN3,1,101031234,ENSG00000186862,PDZD7,-1,101031129
ENSG00000119929,CUTC,1,99732234,ENSG00000014919,COX15,-1,99732127
ENSG00000014919,COX15,-1,99732127,ENSG00000119929,CUTC,1,99732234
ENSG00000151532,VTI1A,1,112447215,ENSG00000023041,ZDHHC6,-1,112446914
ENSG00000165886,UBTD1,1,97498924,ENSG00000155229,MMS19,-1,97498422
ENSG00000156398,SFXN2,1,102714636,ENSG00000138175,ARL3,-1,102714397
ENSG00000171862,PTEN,1,87863625,ENSG00000227268,KLLN,-1,87863533
ENSG00000165609,NUDT5,-1,12195891,ENSG00000151465,CDC123,1,12196188
ENSG00000151465,CDC123,1,12196188,ENSG00000165609,NUDT5,-1,12195891
ENSG00000138303,ASCC1,-1,72216276,ENSG00000166295,ANAPC16,1,72216012
ENSG00000007545,CRAMP1,1,1612360,ENSG00000187535,IFT140,-1,1612072
ENSG00000168096,ANKS3,-1,4734271,ENSG00000166246,DNAAF8,1,4734537
ENSG00000187535,IFT140,-1,1612072,ENSG00000007545,CRAMP1,1,1612360
ENSG00000140632,GLYR1,-1,4847288,ENSG00000118900,UBN1,1,4847481
ENSG00000129636,ITFG1,-1,47461063,ENSG00000102893,PHKB,1,47461331
ENSG00000166246,DNAAF8,1,4734537,ENSG00000168096,ANKS3,-1,4734271
ENSG00000141076,UTP4,1,69132649,ENSG00000168802,CHTF8,-1,69132588
ENSG00000141076,UTP4,1,69132649,ENSG00000286140,DERPC,-1,69132588
ENSG00000286140,DERPC,-1,69132588,ENSG00000168802,CHTF8,-1,69132588
ENSG00000286140,DERPC,-1,69132588,ENSG00000141076,UTP4,1,69132649
ENSG00000168802,CHTF8,-1,69132588,ENSG00000286140,DERPC,-1,69132588
ENSG00000168802,CHTF8,-1,69132588,ENSG00000141076,UTP4,1,69132649
ENSG00000088682,COQ9,1,57447479,ENSG00000005194,CIAPIN1,-1,57447385
ENSG00000005194,CIAPIN1,-1,57447385,ENSG00000088682,COQ9,1,57447479
ENSG00000118900,UBN1,1,4847481,ENSG00000140632,GLYR1,-1,4847288
ENSG00000131652,THOC6,1,3024035,ENSG00000103145,HCFC1R1,-1,3023942
ENSG00000140993,TIGD7,-1,3305430,ENSG00000162086,ZNF75A,1,3305497
ENSG00000103343,ZNF174,1,3401215,ENSG00000140987,ZSCAN32,-1,3401004
ENSG00000167981,ZNF597,-1,3443504,ENSG00000122390,NAA60,1,3443680
ENSG00000122390,NAA60,1,3443680,ENSG00000167981,ZNF597,-1,3443504
ENSG00000196118,CFAP119,-1,30762062,ENSG00000103549,RNF40,1,30762322
ENSG00000167394,ZNF668,-1,31074240,ENSG00000167395,ZNF646,1,31074422
ENSG00000167395,ZNF646,1,31074422,ENSG00000167394,ZNF668,-1,31074240
ENSG00000149929,HIRIP3,-1,29995617,ENSG00000169592,INO80E,1,29996241
ENSG00000169592,INO80E,1,29996241,ENSG00000149929,HIRIP3,-1,29995617
ENSG00000169627,BOLA2B,-1,30193666,ENSG00000132207,SLX1A,1,30193875
ENSG00000132207,SLX1A,1,30193875,ENSG00000169627,BOLA2B,-1,30193666
ENSG00000103145,HCFC1R1,-1,3023942,ENSG00000131652,THOC6,1,3024035
ENSG00000189091,SF3B3,1,70523816,ENSG00000103051,COG4,-1,70523554
ENSG00000166848,TERF2IP,1,75647773,ENSG00000065427,KARS1,-1,75647665
ENSG00000087263,OGFOD1,1,56451554,ENSG00000167005,NUDT21,-1,56451332
ENSG00000065427,KARS1,-1,75647665,ENSG00000166848,TERF2IP,1,75647773
ENSG00000182810,DDX28,-1,68023232,ENSG00000167264,DUS2,1,68023284
ENSG00000103061,SLC7A6OS,-1,68310946,ENSG00000132600,PRMT7,1,68311019
ENSG00000103160,HSDL1,-1,84145177,ENSG00000154099,DNAAF1,1,84145308
ENSG00000154099,DNAAF1,1,84145308,ENSG00000103160,HSDL1,-1,84145177
ENSG00000174939,ASPHD1,1,29900488,ENSG00000174938,SEZ6L2,-1,29899550
ENSG00000074071,MRPS34,-1,1773134,ENSG00000197774,EME2,1,1772810
ENSG00000162032,SPSB3,-1,1782571,ENSG00000095906,NUBP2,1,1782960
ENSG00000095906,NUBP2,1,1782960,ENSG00000162032,SPSB3,-1,1782571
ENSG00000063854,HAGH,-1,1826825,ENSG00000180185,FAHD1,1,1827206
ENSG00000103356,EARS2,-1,23557350,ENSG00000103353,UBFD1,1,23557727
ENSG00000103353,UBFD1,1,23557727,ENSG00000103356,EARS2,-1,23557350
ENSG00000166847,DCTN5,1,23641466,ENSG00000083093,PALB2,-1,23641310
ENSG00000075399,VPS9D1,-1,89720898,ENSG00000158805,ZNF276,1,89721537
ENSG00000131165,CHMP1A,-1,89657708,ENSG00000167523,SPATA33,1,89657836
ENSG00000162086,ZNF75A,1,3305497,ENSG00000140993,TIGD7,-1,3305430
ENSG00000102871,TRADD,-1,67159909,ENSG00000135722,FBXL8,1,67159957
ENSG00000135722,FBXL8,1,67159957,ENSG00000102871,TRADD,-1,67159909
ENSG00000168676,KCTD19,-1,67326741,ENSG00000159708,LRRC36,1,67326815
ENSG00000159708,LRRC36,1,67326815,ENSG00000168676,KCTD19,-1,67326741
ENSG00000213380,COG8,-1,69339564,ENSG00000132603,NIP7,1,69339772
ENSG00000132603,NIP7,1,69339772,ENSG00000213380,COG8,-1,69339564
ENSG00000007520,TSR3,-1,1351878,ENSG00000090581,GNPTG,1,1351931
ENSG00000103549,RNF40,1,30762322,ENSG00000196118,CFAP119,-1,30762062
ENSG00000103253,HAGHL,1,727106,ENSG00000162004,CCDC78,-1,726443
ENSG00000103494,RPGRIP1L,-1,53703859,ENSG00000140718,FTO,1,53704156
ENSG00000159579,RSPRY1,1,57186329,ENSG00000172775,PSME3IP1,-1,57186039
ENSG00000166188,ZNF319,-1,58000672,ENSG00000103005,USB1,1,58001407
ENSG00000166451,CENPN,1,81007214,ENSG00000103121,CMC2,-1,81006885
ENSG00000090581,GNPTG,1,1351931,ENSG00000007520,TSR3,-1,1351878
ENSG00000005189,REXO5,1,20806527,ENSG00000196678,ERI2,-1,20806472
ENSG00000184857,TMEM186,-1,8797639,ENSG00000140650,PMM2,1,8797839
ENSG00000162004,CCDC78,-1,726443,ENSG00000103253,HAGHL,1,727106
ENSG00000140650,PMM2,1,8797839,ENSG00000184857,TMEM186,-1,8797639
ENSG00000167005,NUDT21,-1,56451332,ENSG00000087263,OGFOD1,1,56451554
ENSG00000140830,TXNL4B,-1,72093620,ENSG00000140829,DHX38,1,72093847
ENSG00000140829,DHX38,1,72093847,ENSG00000140830,TXNL4B,-1,72093620
ENSG00000197774,EME2,1,1772810,ENSG00000074071,MRPS34,-1,1773134
ENSG00000167523,SPATA33,1,89657836,ENSG00000131165,CHMP1A,-1,89657708
ENSG00000174938,SEZ6L2,-1,29899550,ENSG00000174939,ASPHD1,1,29900488
ENSG00000196678,ERI2,-1,20806472,ENSG00000005189,REXO5,1,20806527
ENSG00000188215,DCUN1D3,-1,20900358,ENSG00000102897,LYRM1,1,20900771
ENSG00000102897,LYRM1,1,20900771,ENSG00000188215,DCUN1D3,-1,20900358
ENSG00000132600,PRMT7,1,68311019,ENSG00000103061,SLC7A6OS,-1,68310946
ENSG00000140987,ZSCAN32,-1,3401004,ENSG00000103343,ZNF174,1,3401215
ENSG00000065057,NTHL1,-1,2047834,ENSG00000103197,TSC2,1,2047985
ENSG00000161980,POLR3K,-1,53608,ENSG00000161981,SNRNP25,1,53828
ENSG00000103550,KNOP1,-1,19718227,ENSG00000174628,IQCK,1,19718271
ENSG00000174628,IQCK,1,19718271,ENSG00000103550,KNOP1,-1,19718227
ENSG00000102981,PARD6A,1,67660960,ENSG00000102977,ACD,-1,67660260
ENSG00000124074,ENKD1,-1,67666750,ENSG00000159761,C16orf86,1,67666814
ENSG00000159761,C16orf86,1,67666814,ENSG00000124074,ENKD1,-1,67666750
ENSG00000141084,RANBP10,-1,67806560,ENSG00000102904,TSNAXIP1,1,67806889
ENSG00000102904,TSNAXIP1,1,67806889,ENSG00000141084,RANBP10,-1,67806560
ENSG00000102901,CENPT,-1,67847693,ENSG00000102898,NUTF2,1,67846933
ENSG00000102898,NUTF2,1,67846933,ENSG00000102901,CENPT,-1,67847693
ENSG00000167264,DUS2,1,68023284,ENSG00000182810,DDX28,-1,68023232
ENSG00000158717,RNF166,-1,88706408,ENSG00000174177,CTU2,1,88706503
